ID,Sentence,Micaela,Shantina,Danyi,Gold
003_269-371,"“The bear never asks permission,” remarked Vladmir Putin on a TV promo for his annual news conference.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
003_371-384,"Yes, we know.",OTHER-FORM,NON-ARGUMENT,ASSERTION,OTHER-FORM
003_388-485,The Russians haven’t stopped their aggressive posturing after annexing Crimea—not by a long-shot.,ASSERTION,ASSERTION,INSULT,ASSERTION
003_486-643,In early December there was another near miss between a Russian military jet with its transponders turned off and a commercial airliner just south of Sweden.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
003_647-660,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
003_664-677,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
003_681-877,"This adds to the list of over 40 serious incidents involving Russia and NATO countries in the last 8 months, as detailed in a report by a British think tank called the European Leadership Network.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
003_881-1062,"President Obama has so far remained unwilling to do little more than levy pin- prick sanctions against specific Russian individuals, but that doesn’t mean Congress is sitting still.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
003_1066-1161,Republicans have continued to show a willingness to get tough with Russia to actually deter it.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_1162-1271,"And now the New Year ushers in a Republican majority in the Senate, and a freshly motivated Republican House.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_1275-1534,"Several Senators have argued the U.S. should impose much tougher sanctions on whole sectors of the Russian economy, provide significant arms to Ukraine and NATO allies in the region, and should go back to an emphasis on building out missile defense in Europe.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
003_1538-1647,Moscow has long opposed U.S. missile defense in countries that were once forcibly a part of the Soviet Union.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_1648-1793,Recall the now infamous abandonment by President Obama of the Bush plan to deploy 10 large interceptors in Poland in an effort to appease Russia.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
003_1794-1918,"Those same interceptors might not be deployed, but the current and more modest plans to build up defenses, could be adapted.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_1919-2197,"Congressman Mike Tuner, R-Ohio, said in a statement released on December 18, ""Given Russia\'s increased aggression toward the West and Iran\'s stubbornness toward its nuclear program, we must ensure a robust BMD capability in Europe. Russia is clearly now a threat to the West.""",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
003_2201-2386,"For years the U.S. has insisted that homeland missile defense systems will not be targeted at Russian assets in order to maintain a ""strategic balance"" between the former Cold War foes.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
003_2387-2514,This remains the position of the U.S. as laid out in a 2010 policy document called the Ballistic Missile Defense Review (BMDR).,FACT-TESTIMONY,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY
003_2515-2551,"It is not, however, codified in law.",OTHER-FORM,ASSERTION,ASSERTION,ASSERTION
003_2555-2783,"And since the U.S. began deploying more missile defense systems abroad to protect allies and U.S. troops from Iranian missiles, officials have made the case that they were not defending against the shorter range Russian systems.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_2784-2940,"But this may change; and if it does, it will be the fault of the Russian government, and to the credit of American officials who are paying close attention.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_2944-3234,"Unconvinced that the U.S. is not threatening its military, Russia has moved forward with an aggressive plan to improve in quality and quantity its offensive missile forces and continues to threaten its neighbors (U.S. allies) with them, even threatening to use—preemptively—nuclear weapons.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_3235-3436,The revelations that Russia has been in violation of the INF Treaty has also ushered in some bipartisan agreement that perhaps the U.S. should rethink its position regarding missile defense and Russia.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_3440-3638,"Democratic Senator Joe Donnelly, R-Ind., raised the issue of speeding up and strengthening U.S. missile defense in Europe in the context of Russian aggression during an April 2, 2014 Senate hearing.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
003_3642-3900,In the recent omnibus bill Congress approved $20 million to do just that -- speed up the deployment of the European Phased Adaptive Approach -- a missile defense plan to deploy missile defense assets in Europe to protect against the regional Iranian threats.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_3904-4081,"Between the failure of the infamous “Iran deal” to curb Iranian missile development and Russia’s continued aggression in the region, this makes perfect sense and is good policy.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
003_4085-4303,"In a recent trip to Eastern Europe, the Chairman of the House Strategic Forces Subcommittee, Congressman Mike Rogers, R-Ala., stated that the interceptors in Europe could be made to defend against some Russian threats.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
003_4307-4400,"As one can imagine, this didn’t thrill the Russians—but short of American decline, what does?",RH-QUESTION,RH-QUESTION,ASSERTION,RH-QUESTION
003_4404-4717,"Russian Foreign Ministry spokesman Alexander Lukashevich said in a statement, ""Hence, the U.S. lawmaker confirmed the justifiability of concerns having been aired by Moscow for a long time that the missile shield being developed by the U.S. is intended solely for the purposes officially declared by Washington.”",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
003_4720-4936,"If the U.S. does configure systems to protect its allies against Russian missiles, it is because it will be because Uncle Sam finally stopped “asking permission” and decided to get serious about deterring “the bear.”",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_0-102,"If there were an award for scummiest business practice, refusing to pay interns would get many a vote.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_103-357,"But Jan Mortier, who until a year ago ran a “junior associates” programme through his thinktank Civitatis International, has upped the stakes by charging former interns (or trainees, as he prefers to think of them) a £300 fee for an employment reference.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
004_361-445,Is charging someone for a reference after refusing to pay them as scummy as it gets?,RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
004_446-456,Sadly not.,OTHER-FORM,OTHER-FORM,FACT-TESTIMONY,OTHER-FORM
004_457-652,"Young people are lucky if unpaid work is the worst deal they are offered: although the “junior associates” programme was advertised on Internwise, the three-month programme cost more than £1,600.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
004_653-715,"(Mortier insists it was a training course, not an internship.)",FACT-TESTIMONY,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY
004_716-735,And the winner is …,OTHER-FORM,OTHER-FORM,ASSERTION,OTHER-FORM
004_739-862,"But how on Earth did Mortier think he could get away with charging for references, never mind the extortionate fee of £300?",RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
004_863-1017,"His market is ambitious but terrified young people who are overqualified and unemployed – and there is easy money to be made from them, for three reasons.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1021-1102,"First, they’ve been sent the message that they’re of little value to the economy.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1103-1219,Government and businesses have spent the entire economic crisis suggesting that young people lack employable skills.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
004_1220-1433,Repeated references to these elusive skills rarely lead to any kind of specific mention of what they are – or an investigation into why schools and universities stopped teaching them just as the economy collapsed.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1434-1602,"If you’ve spent your life in education only to be called unemployable, the idea that you’d have to pay someone to say nice things about you doesn’t seem so far-fetched.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1606-1744,"Second, while young people as a group tend not to have much money sloshing around, their parents and grandparents are supposedly doing OK.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1745-1827,People wanting what’s best for their kids leads easily to the coughing-up of cash.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1831-1994,"Third, when it comes to looking for a job, young people are so used to mounting hindrances that you can stick on another like an extra bottle on a drunk’s bar tab.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_1995-2334,"Legend has it that people used to get a job by seeing one they wanted, and applying; then came the time when they needed qualifications to get the same job; then they needed better qualifications; then they would have to do an unpaid internship; then to prove it wasn’t all a fluke they’d have to get qualifications and do an internship.",ANECDOTE,ASSERTION,ASSERTION,ASSERTION
004_2336-2474,"Now, Civitatis would have you believe that if you attend its summer school you “will gain the advantage over others for internship (sic)”.",FACT-TESTIMONY,ASSERTION,ASSERTION,ASSERTION
004_2475-2500,"So, £300 for a reference?",RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
004_2501-2522,Stick it on the bill.,OTHER-FORM,OTHER-FORM,OTHER-FORM,OTHER-FORM
004_2526-2677,But the damage caused by charging for references isn’t limited to the spineless gouging of money from naive young people trying to get their first job.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_2678-2738,A reference is immediately invalid once money changes hands.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_2739-2858,The value of a reference lies in the assumption that it’s an honest comment on a person’s job performance or character.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_2859-2943,"The price tag Mortier has attached isn’t, as he claims, a “fair administrative fee”.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_2944-3075,"It’s enough to make a pocket bulge, and certainly enough to be considered a bribe: no one pays £300 to be damned with faint praise.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_3076-3201,"Anyone reading a reference signed by Mortier knows he’s been paid hundreds for whatever he’s written, so it will ring hollow.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_3205-3305,Getting a job with worthless education and months-long application processes is already hard enough.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
004_3306-3415,"If this idea catches on, references as a measure of a potential candidate will be as devalued as our degrees.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
005_0-14,(Charles Bush),OTHER-FORM,NON-ARGUMENT,None,NON-ARGUMENT
005_18-60,The holidays are my favorite time of year.,ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_61-255,"As my home fills with the joy and laughter of my six children and four grandchildren, I’m reminded of how lucky I am to have the most wonderful job in the world – being a mother and grandmother.",ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_256-441,"It’s the single most important thing I’ve done with my life, and I know just how important the job is because I am constantly reminded of what an influence my own mother was in my life.",ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_442-552,My mother Mieke survived three and a half horrific years in a Japanese concentration camp during World War II.,ANECDOTE,ANECDOTE,FACT-TESTIMONY,ANECDOTE
005_553-668,"During that time, she focused all of her energy on caring for fellow prisoners who were far worse off than she was.",ANECDOTE,ANECDOTE,FACT-TESTIMONY,ANECDOTE
005_672-795,"When I think of my mother, I think of the selfless love she had not only for my family, but for complete strangers as well.",ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_796-874,She’s with me every day as I challenge myself to live my life in the same way.,ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_875-985,"I am so blessed to have a wonderful family and career that I love, and I see my mother in all of those things.",ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_986-1052,I see her every day in the faces of my children and grandchildren.,ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_1053-1222,I am reminded of her each time a single white feather floats through the air – whether on good days or bad days – and I have to smile knowing that she is always with me.,ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_1223-1295,"Her love is reflected in my work as an actor, artist and philanthropist.",ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_1296-1511,"Without her example, I wouldn’t be who I am today and while I miss her endlessly during the holidays, I know that if I live my life the way she did, I will make the same impact on my family and that is truly a gift.",ANECDOTE,ANECDOTE,ASSERTION,ANECDOTE
005_1515-1528,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
005_1532-1545,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
006_0-73,"On Thursday, the so-called London Conference on Afghanistan will convene.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_74-240,"Of all the high-profile international conferences that have been held on Afghanistan over the years - in Bonn, Tokyo, and Istanbul - this comes at a crucial juncture.",ASSERTION,ASSERTION,None,ASSERTION
006_244-468,"At the end of October, British forces lowered the flag at Camp Bastion - from where they had engaged in the most intense fighting the British army had seen since the Falklands War - and handed over the base to Afghan forces.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_469-582,"Just over a month later, the Taliban mounted a 14-hour attack on the very same site, killing six Afghan soldiers.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_583-746,"To the north, in the capital Kabul, insurgents have pulled off a dozen attacks in the space of the last few weeks, striking at diplomats, NGOs, and US contractors.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_747-836,"What explains this spate of violence, and is it a portent for the future of Afghanistan?",RH-QUESTION,OTHER-FORM,None,RH-QUESTION
006_839-984,"The International Security Assistance Force (ISAF), a US-led group that includes NATO members and others, winds up its mission on New Year's Eve.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_985-1274,"A slimmed-down force of 12,000 foreign troops - mostly American - will stay behind, and US President Barack Obama has authorised the US contingent to continue supporting Afghan National Security Forces (ANSF) throughout 2015, with all of these forces scheduled to leave by the end of 2016.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_1275-1368,"The US is not, therefore, leaving Afghanistan in the abrupt manner than it left Iraq in 2011.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_1369-1407,But this is a time of dramatic change.,ASSERTION,ASSERTION,None,ASSERTION
006_1411-1440,Drastic effects on casualties,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
006_1444-1660,"For one thing, the ANSF are doing much of the fighting themselves, with drastic effects on casualties: over 9,000 Afghan troops have died since 2013, four times greater than the entire American death toll since 2001.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_1661-1756,"Afghan police officers are suffering especially badly, with thousands being killed every month.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_1760-1937,"At the political level, a new government of national unity, led by President Ashraf Ghani and Chief Executive Abdullah Abdullah, has taken charge after Hamid Karzai's departure.",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_1941-2280,"Ghani is already reported to have opened backchannel talks with the Taliban, visiting both Pakistan and Beijing to seek their help in this effort, cancelling an earlier arms request from India, and even making a highly unorthodox visit to Pakistan's army headquarters, in recognition of Pakistan's long-standing support for the insurgents.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_2284-2328,"On the ground, the overall picture is mixed.",ASSERTION,ASSERTION,None,ASSERTION
006_2329-2487,"This year, Taliban-initiated attacks are reported to have fallen by 25 percent, and ANSF mounted offensives four to five times more frequently than last year.",FACT-TESTIMONY,ASSERTION,None,ASSERTION
006_2488-2788,"At the same time, as political scientist Jason Lyall observed, the recently-concluded fighting season - from April to October - ""witnessed the appearance of large Taliban units on the battlefield"" for the first time, with a tenth of all Afghan districts seeing ""at least one major Taliban offensive"".",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_2792-2961,"Lyall also notes reports of over 1,000 insurgents on the battlefield, ""numbers not seen since the Taliban's original push to capture Kabul during the 1992-96 civil war"".",FACT-TESTIMONY,FACT-TESTIMONY,None,FACT-TESTIMONY
006_2962-3228,"While we should take these reports with a pinch of salt - NATO commanders accuse their Afghan counterparts of exaggerating - they do point to a simple, stark fact: The insurgency is far from broken, and it will be able to pressure the Afghan state for years to come.",ASSERTION,ASSERTION,None,ASSERTION
006_3232-3314,"In this context, the wave of insurgent attacks might be explained in several ways.",OTHER-FORM,ASSERTION,None,ASSERTION
006_3318-3489,"First, these attacks might be intended to drive a wedge between the Afghan government and its foreign patrons, encouraging the latter to abandon their allies more quickly.",ASSERTION,ASSERTION,None,ASSERTION
